subscription_id,customer_id,amount_inr,failure_class,rule_fired,escalation,next_step,attempts_spent,attempts_preserved,mandate_status,mandate_valid_until,why
sub_SYN0035,cust_SYN1672,43966.47,MANDATE_PAUSED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,paused,2027-03-05,"stopped: MANDATE_PAUSED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0058,cust_SYN9138,42608.16,INSUFFICIENT_FUNDS,6,AFA_PAYMENT_LINK,above the RBI AFA-free cap: customer-present link with AFA,0,1,active,2027-09-18,"escalated: amount ₹42,608.16 exceeds the RBI e-mandate AFA-free cap — an unattended debit would be declined on presentation; routed to a customer-present payment link with AFA, 1 attempt(s) preserved"
sub_SYN0056,cust_SYN5183,31045.08,BANK_DOWNTIME,6,AFA_PAYMENT_LINK,above the RBI AFA-free cap: customer-present link with AFA,0,1,active,2027-01-28,"escalated: amount ₹31,045.08 exceeds the RBI e-mandate AFA-free cap — an unattended debit would be declined on presentation; routed to a customer-present payment link with AFA, 1 attempt(s) preserved"
sub_SYN0001,cust_SYN6514,4999.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-05-06,all available attempts spent without recovery
sub_SYN0003,cust_SYN3803,4999.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,revoked,2027-04-01,"stopped: MANDATE_REVOKED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0007,cust_SYN9837,4999.00,LIMIT_EXCEEDED,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-01-11,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0011,cust_SYN1887,4999.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-05-10,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0016,cust_SYN9288,4999.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-07-17,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0022,cust_SYN5573,4999.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2027-04-24,all available attempts spent without recovery
sub_SYN0060,cust_SYN5835,4999.00,MANDATE_PAUSED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,paused,2027-02-18,"stopped: MANDATE_PAUSED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0067,cust_SYN1710,4999.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-06-16,all available attempts spent without recovery
sub_SYN0087,cust_SYN5670,4999.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,revoked,2026-11-23,"stopped: MANDATE_REVOKED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0000,cust_SYN4582,2499.00,TECHNICAL_ERROR,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,active,2026-11-15,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0020,cust_SYN3532,2499.00,MANDATE_EXPIRED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,expired,2026-07-07,"stopped: MANDATE_EXPIRED — no retry can succeed, 3 attempt(s) preserved"
